sentence;performative;embedding;solution;domain
Did customer 21 place an order for the XiaomiRedmi?;askOne;customer_request/2;"customer_request(21, ""XiaomiRedmi"")";robot_assistant
Check if customer 21 is interested in the XiaomiRedmi.;askOne;customer_request/2;"customer_request(21, ""XiaomiRedmi"")";robot_assistant
Has user 21 made a request concerning the XiaomiRedmi?;askOne;customer_request/2;"customer_request(21, ""XiaomiRedmi"")";robot_assistant
Verify if the XiaomiRedmi was requested by customer 21.;askOne;customer_request/2;"customer_request(21, ""XiaomiRedmi"")";robot_assistant
Look for a XiaomiRedmi request filed by customer 21.;askOne;customer_request/2;"customer_request(21, ""XiaomiRedmi"")";robot_assistant
Is the SamsungS3 currently out of stock?;askOne;out_of_stock/1;"out_of_stock(""SamsungS3"")";robot_assistant
Check if the SamsungS3 is unavailable.;askOne;out_of_stock/1;"out_of_stock(""SamsungS3"")";robot_assistant
Tell me if the SamsungS3 is out of stock.;askOne;out_of_stock/1;"out_of_stock(""SamsungS3"")";robot_assistant
Does the shop have any SamsungS3 left?;askOne;out_of_stock/1;"out_of_stock(""SamsungS3"")";robot_assistant
Is the SamsungS3 sold out?;askOne;out_of_stock/1;"out_of_stock(""SamsungS3"")";robot_assistant
"Has the ""clear"" task been finished yet?";askOne;task_completed/1;task_completed(clear);robot_assistant
"Is the ""clear"" task done?";askOne;task_completed/1;task_completed(clear);robot_assistant
"Mark ""clear"" as finished?";askOne;task_completed/1;task_completed(clear);robot_assistant
"Was the ""clear"" assignment wrapped up?";askOne;task_completed/1;task_completed(clear);robot_assistant
"Did you finish ""clear"" already?";askOne;task_completed/1;task_completed(clear);robot_assistant
Has the return process for transaction 502 been completed?;askOne;return_process/2;return_process(502, _);robot_assistant
Is the return process for order 12 finished yet?;askOne;return_process/2;return_process(12, _);robot_assistant
What is the status of the return process for transaction 88?;askOne;return_process/2;return_process(88, _);robot_assistant
Tell me the status of the return process for transaction 400.;askOne;return_process/2;return_process(400, _);robot_assistant
Check the return process for transaction 777.;askOne;return_process/2;return_process(777, _);robot_assistant
